"lat","lon","vehicle_capacity"
"35.707252","139.777587","8"
"35.6546215","139.7597654","12"
"35.681758","139.578239","3"
"35.734776","139.694862","4"
"35.707615","139.737392","3"
"35.748608593213","139.58446249366","4"
"35.636521","139.588661","2"
"35.626882","139.643571","4"
"35.649936","139.744627","2"
"35.777223","139.7192448","5"
"35.705526","139.653978","4"
"35.698742","139.744396","5"
"35.802869","139.596042","10"
"35.800941","139.612318","5"
"35.794957","139.610064","5"
"35.797028","139.600583","41"
"35.796634","139.599473","45"
"35.796555","139.594479","12"
"35.793326","139.596358","4"
"35.561665","139.558185","6"
"35.567965","139.624953","5"
"35.79264","139.59438","6"
"35.797051","139.601694","18"
"35.794322","139.584821","10"
"35.614852","139.60158","4"
"35.556879","139.644186","4"
"35.574361","139.54995","8"
"35.583384","139.655523","10"
"35.60201","139.603841","14"
"35.704099","139.617042","4"
"35.572679","139.700917","4"
"35.602583","139.628932","8"
"35.568125","139.663226","12"
"35.563719","139.64034","4"
"35.579379","139.636873","10"
"35.579967","139.641266","24"
"35.601161","139.620808","5"
"35.600794","139.620282","8"
"35.571497","139.581024","6"
"35.596869","139.550409","6"
"35.590256","139.555223","6"
"35.601906","139.54159","10"
"35.634562","139.545966","8"
"35.610303","139.576105","10"
"35.611745","139.585807","5"
"35.599049","139.554544","6"
"35.595368","139.626099","6"
"35.597064","139.571846","12"
"35.582797","139.591775","5"
"35.567302","139.648336","7"
"35.564488","139.611816","4"
"35.572674","139.631961","7"
"35.603816","139.614127","5"
"35.594483","139.637951","5"
"35.697128","139.799661","4"
"35.693611","139.805354","4"
"35.7171301","139.8231999","3"
"35.718299","139.816347","4"
"35.640633","139.612677","6"
"35.7264626","139.8047155","7"
"35.646262","139.659848","7"
"35.64027","139.644035","4"
"35.561224","139.675395","5"
"35.572722","139.618553","5"
"35.586583","139.618985","5"
"35.724977","139.614646","8"
"35.722938","139.638946","6"
"35.71526","139.65874","21"
"35.706091","139.804332","5"
"35.706685","139.808797","4"
"35.715482","139.801662","3"
"35.720486","139.829964","11"
"35.733879","139.819187","6"
"35.570803","139.616076","3"
"35.5616638","139.66856","10"
"35.571385","139.594503","4"
"35.602319","139.581581","6"
"35.797489","139.592787","4"
"35.605339","139.623204","3"
"35.611597","139.638191","3"
"35.662057","139.665927","4"
"35.706796","139.816143","4"
"35.710896","139.828544","3"
"35.579049","139.66368","13"
"35.764359","139.835652","9"
"35.7751987","139.8393069","9"
"35.59138727529","139.5542146143","5"
"35.738142996714","139.65786159338","3"
"35.727864","139.565874","9"
"35.70714","139.773672","9"
"35.79604","139.589817","11"
"35.769684","139.706257","5"
"35.752228","139.705989","8"
"35.748966","139.704443","7"
"35.745569","139.702037","3"
"35.736589","139.7266","10"
"35.739438","139.683565","5"
"35.782556","139.826725","5"
"35.764377","139.678777","15"
"35.768404","139.67622","4"
"35.768988","139.662211","11"
"35.773652","139.6703","6"
"35.773583","139.659742","10"
"35.772223","139.655091","8"
"35.778213","139.634266","9"
"35.782517","139.67776","7"
"35.778145","139.6813","4"
"35.760996","139.847464","6"
"35.793059","139.789649","2"
"35.7784489","139.7602165","6"
"35.754864","139.836331","6"
"35.768591","139.770404","5"
"35.7824985","139.7510977","5"
"35.771077","139.797394","7"
"35.772098","139.774787","8"
"35.7647214","139.767083","5"
"35.772042","139.829422","10"
"35.761762","139.827653","12"
"35.785329","139.706507","6"
"35.667276","139.876455","6"
"35.664111","139.875986","6"
"35.665114","139.871373","3"
"35.656077","139.868811","4"
"35.663278","139.875285","14"
"35.652854","139.868794","4"
"35.782983","139.644826","12"
"35.779876","139.630211","12"
"35.791125","139.653586","10"
"35.783602","139.66635","5"
"35.777252","139.641307","5"
"35.574112","139.65935","11"
